"","FormattedDates","MinTemp","MaxTemp","Rainfall","Relative.Humidity....","Wind.Speed..m.s.","WindDirDaily_numerical","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Sunshine","Evaporation","Nitrogen.Oxide..ppm.","Nitrogen.Dioxide..ppm.","Nitrogen.Oxides..ppm.","Carbon.Monoxide..ppm.","PM2.5..ug.m.3.","PM10..ug.m.3.","WindDirDaily_category"
"106",2018-04-16,15.1,32,0,55.575,0.983333333333333,13,1015.8,1012.1,0,0,10.9,4,0.0219583333333333,0.0229583333333333,0.0427083333333333,0.225,4.325,25.8708333333333,"W"
"107",2018-04-17,16.7,30.8,0,60.6041666666667,1.49583333333333,9,1018,1015.6,0,1,10.6,5.2,0.01825,0.0186666666666667,0.035125,0.154166666666667,4.4,18.0041666666667,"S"
"108",2018-04-18,19.4,24.7,5.2,72.625,1.67916666666667,10,1021.8,1019.4,8,6,0.6,7.6,0.0249166666666667,0.0197916666666667,0.0426666666666667,0.183333333333333,3.57083333333333,14,"SSW"
"109",2018-04-19,18.4,27.2,1.2,67,1.3375,9,1021.6,1018.6,2,7,7.1,5,0.0173333333333333,0.0174583333333333,0.0332083333333333,0.154166666666667,3.15833333333333,14.9041666666667,"S"
"110",2018-04-20,18.9,27.7,0.2,78.5416666666667,1.2,11,1019.7,1016.1,6,7,3.8,5.8,0.0281666666666667,0.021375,0.0471666666666667,0.275,4.76666666666667,12.8583333333333,"SW"
"111",2018-04-21,17.5,26.7,10,74.3666666666667,1.5,10,1019.3,1016.5,1,7,7.8,2.8,0.0139583333333333,0.0145416666666667,0.027125,0.183333333333333,3.61666666666667,8.52916666666667,"SSW"
"112",2018-04-22,17.2,25.8,0.2,68.4083333333333,2.10416666666667,9,1018.6,1016.1,4,2,9.8,3.8,0.00820833333333333,0.011125,0.01825,0.116666666666667,3.11666666666667,6.73333333333333,"S"
"113",2018-04-23,16.9,28,0,68.7625,1.5125,11,1017,1014.5,1,5,8.9,5.8,0.0221666666666667,0.0173333333333333,0.0378333333333333,0.208333333333333,2.9625,9.14166666666667,"SW"
"114",2018-04-24,16.4,27.2,1.4,62.0458333333333,1.39583333333333,11,1016,1012.3,1,6,9.1,3.2,0.0244583333333333,0.0185833333333333,0.041125,0.1875,3.0375,7.59166666666667,"SW"
"115",2018-04-25,17.5,27.7,1.2,69.0416666666667,1.0625,11,1013.7,1010.3,1,7,9.3,4,0.00545833333333333,0.0112083333333333,0.0158333333333333,0.1125,3.075,5.85416666666667,"SW"
"116",2018-04-26,18.1,29.1,0,70.1708333333333,1.02916666666667,10,1013.8,1010.5,1,1,10.5,5,0.0175416666666667,0.01775,0.0334166666666667,0.183333333333333,4.55,9.4125,"SSW"
"117",2018-04-27,18.3,27.5,0,63.6666666666667,1.86666666666667,10,1017.3,1015.5,1,3,8.8,4.6,0.0226666666666667,0.019875,0.0405416666666667,0.1875,4.3,11.6583333333333,"SSW"
"118",2018-04-28,16.6,25.5,0,64.9458333333333,2.13333333333333,10,1020,1016.8,3,5,7.8,5.6,0.0132916666666667,0.0133333333333333,0.0253333333333333,0.129166666666667,1.69166666666667,7.21666666666667,"SSW"
"119",2018-04-29,15.8,26.1,0.4,63.4333333333333,2,10,1021.8,1018.8,1,4,10.1,2.6,0.00758333333333333,0.01075,0.01725,0.1125,1.79583333333333,7.28333333333333,"SSW"
"120",2018-04-30,14.9,25.5,0,62.6833333333333,2.03333333333333,10,1021.6,1020.3,1,5,8,4,0.021375,0.0167916666666667,0.036375,0.154166666666667,2.60833333333333,7.875,"SSW"
"121",2018-05-01,15.1,25.3,0,60.4916666666667,2.17083333333333,10,1024.3,1021.7,3,3,8.6,6,0.0208333333333333,0.0170833333333333,0.0314166666666667,0.154166666666667,4.07916666666667,12.6916666666667,"SSW"
"122",2018-05-02,17.2,26,0,64.8958333333333,1.36666666666667,10,1023.5,1019.6,7,2,8,4.8,0.0159166666666667,0.01575,0.030125,0.158333333333333,5.525,14.5291666666667,"SSW"
"123",2018-05-03,16,26.7,0,69.1041666666667,1.07916666666667,9,1021.7,1018.2,4,7,8.8,4.2,0.0277083333333333,0.0207083333333333,0.046125,0.258333333333333,6.82083333333333,17.575,"S"
